color_name,rgb,red,green,blue,hue_degree,saturation_percent,lightness_percent,hue,saturation,brightness,xy,hue_xy,livingcolors_xy
'Dark orchid','#9932cc',153,50,204,280.1,60.6,49.8,50989,153,126,"{0.259603,0.138323}","{0.454686,0.433709}","{0.409347,0.397330}"
'Dark pastel blue','#779ecb',119,158,203,212.1,44.7,63.1,38611,113,160,"{0.245896,0.262560}","{0.454807,0.423564}","{0.376849,0.446181}"
'Dark pastel green','#03c03c',3,192,60,138.1,96.9,38.2,25139,246,97,"{0.288357,0.556802}","{0.407588,0.485623}","{0.348482,0.486969}"
'Dark pastel purple','#966fd6',150,111,214,262.7,55.7,63.7,47822,141,162,"{0.254370,0.190022}","{0.461869,0.422110}","{0.392708,0.424863}"
'Dark pastel red','#c23b22',194,59,34,9.4,70.2,44.7,1711,178,114,"{0.575197,0.351189}","{0.490880,0.437728}","{0.431308,0.416543}"
'Dark pink','#e75480',231,84,128,342,75.4,61.8,62258,191,157,"{0.454635,0.282758}","{0.503841,0.416011}","{0.424488,0.414709}"
'Dark powder blue','#003399',0,51,153,220,100,30,40049,254,76,"{0.164002,0.110408}","{0.374652,0.493597}","{0.362514,0.419760}"
'Dark raspberry','#872657',135,38,87,329.7,56.1,33.9,60019,142,86,"{0.422099,0.245883}","{0.455354,0.456379}","{0.418252,0.405416}"
'Dark red','#8b0000',139,0,0,0,100,27.3,0,254,70,"{0.640000,0.330000}","{0.455997,0.468137}","{0.444039,0.392017}"
'Dark salmon','#e9967a',233,150,122,15.1,71.6,69.6,2748,181,177,"{0.427731,0.361113}","{0.516649,0.405733}","{0.408916,0.439382}"
'Dark scarlet','#560319',86,3,25,344.1,93.3,17.5,62640,236,45,"{0.556153,0.290621}","{0.427553,0.486412}","{0.422825,0.395972}"
'Dark sea green','#8fbc8f',143,188,143,120,25.1,64.9,21845,63,165,"{0.309588,0.395603}","{0.481415,0.420455}","{0.381045,0.458332}"
'Dark sienna','#3c1414',60,20,20,0,50,15.7,0,127,40,"{0.488301,0.329540}","{0.416262,0.494942}","{0.407194,0.411578}"
'Dark slate blue','#483d8b',72,61,139,248.5,39,39.2,45237,99,100,"{0.220602,0.161252}","{0.419978,0.468153}","{0.387519,0.418381}"
'Dark slate gray','#2f4f4f',47,79,79,180,25.4,24.7,32767,64,63,"{0.261660,0.328854}","{0.414187,0.483947}","{0.379684,0.438130}"
'Dark spring green','#177245',23,114,69,150.3,66.4,26.9,27360,168,69,"{0.268085,0.455399}","{0.406245,0.489478}","{0.365264,0.457919}"
'Dark tan','#918151',145,129,81,45,28.3,44.3,8191,71,113,"{0.386885,0.410866}","{0.477848,0.438065}","{0.396361,0.445652}"
'Dark tangerine','#ffa812',255,168,18,38,100,53.5,6917,254,136,"{0.494926,0.440917}","{0.535392,0.404871}","{0.415638,0.451900}"
'Dark taupe','#483c32',72,60,50,27.3,18,23.9,4969,45,61,"{0.363006,0.361203}","{0.427941,0.480622}","{0.395297,0.429173}"
'Dark terra cotta','#cc4e5c',204,78,92,353.3,55.3,55.3,64315,140,140,"{0.485623,0.313165}","{0.494674,0.427356}","{0.422869,0.418124}"
'Dark turquoise','#00ced1',0,206,209,180.9,100,41,32931,254,104,"{0.223432,0.324354}","{0.386208,0.448342}","{0.338676,0.474655}"
'Dark violet','#9400d3',148,0,211,282.1,100,41.4,51353,254,105,"{0.245952,0.112872}","{0.443445,0.442656}","{0.423907,0.365804}"
'Dartmouth green','#00693e',0,105,62,155.4,100,20.6,28289,254,53,"{0.261590,0.461726}","{0.391070,0.501979}","{0.359378,0.458952}"
'Davy grey','#555555',85,85,85,0,0,33.3,0,0,85,"{0.312712,0.329008}","{0.436920,0.467013}","{0.389901,0.435074}"
'Debian red','#d70a53',215,10,83,338.6,91.1,44.1,61639,231,112,"{0.544281,0.280289}","{0.487954,0.435507}","{0.450589,0.382666}"
'Deep carmine','#a9203e',169,32,62,346.9,68.2,39.4,63150,173,100,"{0.536473,0.296753}","{0.472812,0.448065}","{0.432151,0.401734}"
'Deep carmine pink','#ef3038',239,48,56,357.5,85.7,56.3,65079,217,143,"{0.584774,0.324783}","{0.506034,0.424827}","{0.443659,0.404723}"
'Deep carrot orange','#e9692c',233,105,44,19.4,81.1,54.3,3531,205,138,"{0.540389,0.381507}","{0.514665,0.418541}","{0.425166,0.431071}"
'Deep cerise','#da3287',218,50,135,329.6,69.4,52.5,60000,176,133,"{0.440648,0.242407}","{0.492052,0.424054}","{0.431428,0.399360}"
'Deep champagne','#fad6a5',250,214,165,34.6,89.5,81.4,6298,227,206,"{0.375687,0.380359}","{0.529300,0.388188}","{0.397627,0.452366}"
'Deep chestnut','#b94e48',185,78,72,3.2,44.7,50.4,582,113,128,"{0.496510,0.337203}","{0.487894,0.434689}","{0.419924,0.422068}"
'Deep coffee','#704241',112,66,65,1.3,26.6,34.7,236,67,88,"{0.411447,0.331554}","{0.450113,0.462345}","{0.404631,0.425284}"
'Deep fuchsia','#c154c1',193,84,193,300,46.8,54.3,54612,118,138,"{0.318887,0.197361}","{0.480896,0.418644}","{0.411034,0.411677}"
'Deep jungle green','#004b49',0,75,73,178.4,100,14.7,32476,254,38,"{0.226695,0.336102}","{0.385731,0.504957}","{0.364117,0.444034}"
'Deep lilac','#9955bb',153,85,187,280,42.9,53.3,50971,108,135,"{0.278182,0.184965}","{0.462549,0.430073}","{0.401283,0.416288}"
'Deep magenta','#cc00cc',204,0,204,300,100,40,54612,254,102,"{0.320913,0.154176}","{0.470950,0.428183}","{0.439943,0.363978}"
'Deep peach','#ffcba4',255,203,164,25.7,100,82.2,4678,254,208,"{0.384368,0.369715}","{0.529357,0.389026}","{0.400505,0.449124}"
'Deep pink','#ff1493',255,20,147,327.6,100,53.9,59636,254,137,"{0.465820,0.237822}","{0.500832,0.418128}","{0.449517,0.379539}"
'Deep saffron','#ff9933',255,153,51,30,100,60,5461,254,152,"{0.500320,0.416248}","{0.530753,0.405320}","{0.417014,0.444504}"
'Deep sky blue','#00bfff',0,191,255,195.1,100,50,35516,254,127,"{0.201066,0.243837}","{0.375952,0.437964}","{0.337697,0.465584}"
'Denim','#1560bd',21,96,189,213.2,80,41.2,38811,203,105,"{0.180775,0.161247}","{0.388447,0.469956}","{0.359403,0.435598}"
'Desert','#c19a6b',193,154,107,32.8,41,58.8,5970,104,149,"{0.399710,0.392090}","{0.502546,0.416597}","{0.400531,0.446073}"
'Desert sand','#edc9af',237,201,175,25.2,63.3,80.8,4587,160,205,"{0.361551,0.357716}","{0.521231,0.391643}","{0.396872,0.449383}"
'Dim gray','#696969',105,105,105,0,0,41.2,0,0,105,"{0.312712,0.329008}","{0.449880,0.453399}","{0.389545,0.438777}"
'Dodger blue','#1e90ff',30,144,255,209.6,100,55.9,38155,254,142,"{0.184953,0.177734}","{0.390104,0.440415}","{0.351439,0.446342}"
'Dogwood rose','#d71868',215,24,104,334.9,79.9,46.9,60965,202,119,"{0.501362,0.261699}","{0.488871,0.431691}","{0.442803,0.388778}"
'Dollar bill','#85bb65',133,187,101,97.7,38.7,56.5,17785,98,143,"{0.331005,0.460720}","{0.481094,0.429222}","{0.381202,0.463217}"
'Drab','#967117',150,113,23,42.5,73.4,33.9,7736,186,86,"{0.461707,0.454754}","{0.481651,0.444280}","{0.405405,0.445458}"
'Duke blue','#00009c',0,0,156,240,100,30.6,43690,254,78,"{0.150000,0.060000}","{0.368620,0.501153}","{0.374805,0.382960}"
'Earth yellow','#e1a95f',225,169,95,34.2,68.4,62.7,6225,173,159,"{0.431703,0.412600}","{0.519433,0.406960}","{0.404908,0.448414}"
'Ecru','#c2b280',194,178,128,45.5,35.1,63.1,8282,89,160,"{0.369636,0.394285}","{0.505260,0.410127}","{0.394836,0.451293}"
'Eggplant','#614051',97,64,81,329.1,20.5,31.6,59909,52,80,"{0.347828,0.286865}","{0.440262,0.466538}","{0.399390,0.424131}"
'Eggshell','#f0ead6',240,234,214,46.2,46.4,89,8410,117,226,"{0.329587,0.349716}","{0.522704,0.381481}","{0.390196,0.454401}"
'Egyptian blue','#1034a6',16,52,166,225.6,82.4,35.7,41068,209,91,"{0.165457,0.105730}","{0.382701,0.484907}","{0.367567,0.416535}"
'Electric blue','#7df9ff',125,249,255,182.8,100,74.5,33277,254,189,"{0.245004,0.321896}","{0.464693,0.393645}","{0.363352,0.466044}"
'Electric crimson','#ff003f',255,0,63,345.2,100,50,62840,254,127,"{0.598389,0.307072}","{0.503411,0.427140}","{0.466294,0.376067}"
'Electric cyan','#00ffff',0,255,255,180,100,50,32767,254,127,"{0.224650,0.328741}","{0.383525,0.421808}","{0.333057,0.482129}"
'Electric green','#00ff00',0,255,0,120,100,50,21845,254,127,"{0.300000,0.600000}","{0.423854,0.484291}","{0.344328,0.508120}"
'Electric indigo','#6f00ff',111,0,255,266.1,100,50,48441,254,127,"{0.188447,0.081185}","{0.418690,0.445838}","{0.408064,0.362614}"
'Electric lavender','#f4bbff',244,187,255,290.3,100,86.7,52846,254,220,"{0.307462,0.260662}","{0.511049,0.383105}","{0.396474,0.438383}"
'Electric lime','#ccff00',204,255,0,72,100,50,13107,254,127,"{0.383678,0.533550}","{0.534976,0.404969}","{0.390519,0.480294}"
'Electric purple','#bf00ff',191,0,255,284.9,100,50,51863,254,127,"{0.256906,0.118908}","{0.459141,0.424665}","{0.431640,0.359299}"
'Electric ultramarine','#3f00ff',63,0,255,254.8,100,50,46384,254,127,"{0.162708,0.067002}","{0.392259,0.459672}","{0.391172,0.364990}"
'Electric violet','#8f00ff',143,0,255,273.6,100,50,49806,254,127,"{0.212845,0.094629}","{0.435538,0.437019}","{0.418107,0.361202}"
'Electric yellow','#ffff00',255,255,0,60,100,50,10922,254,127,"{0.419313,0.505251}","{0.551916,0.392877}","{0.399896,0.474645}"
'Emerald','#50c878',80,200,120,140,52.2,54.9,25485,132,139,"{0.283109,0.459249}","{0.451654,0.442055}","{0.365368,0.471494}"
'Eton blue','#96c8a2',150,200,162,134.4,31.3,68.6,24466,79,174,"{0.301228,0.381917}","{0.484695,0.413554}","{0.379727,0.459111}"
'Fallow','#c19a6b',193,154,107,32.8,41,58.8,5970,104,149,"{0.399710,0.392090}","{0.502546,0.416597}","{0.400531,0.446073}"
'Falu red','#801818',128,24,24,0,68.4,29.8,0,173,76,"{0.583556,0.329829}","{0.453572,0.466878}","{0.427558,0.405680}"
'Famous','#ff00ff',255,0,255,300,100,50,54612,254,127,"{0.320913,0.154176}","{0.486995,0.410086}","{0.447309,0.357096}"
'Fandango','#b53389',181,51,137,320.3,56,45.5,58307,142,116,"{0.387899,0.219365}","{0.475691,0.434064}","{0.421941,0.402657}"
'Fashion fuchsia','#f400a1',244,0,161,320.4,100,47.8,58326,254,121,"{0.432338,0.215574}","{0.492069,0.422561}","{0.453831,0.366578}"
'Fawn','#e5aa70',229,170,112,29.7,69.2,66.9,5406,175,170,"{0.420809,0.395083}","{0.519593,0.404400}","{0.404524,0.446799}"
'Feldgrau','#4d5d53',77,93,83,142.5,9.4,33.3,25940,23,85,"{0.302302,0.355247}","{0.433937,0.468981}","{0.385727,0.439866}"
'Fern','#71bc78',113,188,120,125.6,35.9,59,22864,91,150,"{0.302453,0.438210}","{0.468375,0.433039}","{0.375247,0.464069}"
'Fern green','#4f7942',79,121,66,105.8,29.4,36.7,19260,74,93,"{0.321229,0.457493}","{0.441812,0.465420}","{0.381463,0.452781}"
'Ferrari Red','#ff2800',255,40,0,9.4,100,50,1711,254,127,"{0.627160,0.340196}","{0.513436,0.424515}","{0.455228,0.405211}"
'Field drab','#6c541e',108,84,30,41.5,56.5,27.1,7554,143,69,"{0.440016,0.441569}","{0.453880,0.464246}","{0.401261,0.438316}"
'Fire engine red','#ce2029',206,32,41,356.9,73.1,46.7,64970,185,119,"{0.597147,0.324216}","{0.490688,0.437759}","{0.443492,0.400822}"
'Firebrick','#b22222',178,34,34,0,67.9,41.6,0,172,106,"{0.591069,0.329852}","{0.479108,0.446848}","{0.436417,0.405261}"
'Flame','#e25822',226,88,34,16.9,76.8,51,3076,195,130,"{0.561717,0.371891}","{0.509466,0.423670}","{0.429343,0.426113}"
'Flamingo pink','#fc8eac',252,142,172,343.6,94.8,77.3,62549,240,196,"{0.396009,0.297528}","{0.517372,0.398101}","{0.411453,0.430638}"
'Flavescent','#f7e98e',247,233,142,52,86.8,76.3,9466,220,194,"{0.381734,0.421964}","{0.533994,0.388068}","{0.395096,0.459155}"
'Flax','#eedc82',238,220,130,50,76.1,72.2,9102,193,183,"{0.387914,0.424352}","{0.529897,0.392953}","{0.396145,0.457857}"
'Floral white','#fffaf0',255,250,240,40,100,97.1,7281,254,246,"{0.321838,0.338686}","{0.526981,0.373606}","{0.389372,0.454860}"
'Fluorescent orange','#ffbf00',255,191,0,44.9,100,50,8173,254,127,"{0.473147,0.462501}","{0.540458,0.402298}","{0.411754,0.459765}"
'Fluorescent pink','#ff1493',255,20,147,327.6,100,53.9,59636,254,137,"{0.465820,0.237822}","{0.500832,0.418128}","{0.449517,0.379539}"
'Fluorescent yellow','#ccff00',204,255,0,72,100,50,13107,254,127,"{0.383678,0.533550}","{0.534976,0.404969}","{0.390519,0.480294}"
'Folly','#ff004f',255,0,79,341.4,100,50,62149,254,127,"{0.577584,0.295608}","{0.502462,0.426154}","{0.464619,0.374394}"
'Forest green','#228b22',34,139,34,120,60.7,33.9,21845,154,86,"{0.301832,0.560937}","{0.420619,0.485312}","{0.366799,0.469559}"
'French beige','#a67b5b',166,123,91,25.6,29.6,50.4,4660,75,128,"{0.406420,0.378973}","{0.486003,0.431329}","{0.402151,0.440087}"
'French blue','#0072bb',0,114,187,203.4,100,36.7,37027,254,93,"{0.187680,0.195649}","{0.377945,0.474164}","{0.349592,0.446474}"
'French lilac','#86608e',134,96,142,289.6,19.3,46.7,52719,49,119,"{0.305526,0.248795}","{0.459944,0.440186}","{0.396880,0.427698}"
'French rose','#f64a8a',246,74,138,337.7,90.5,62.7,61475,229,159,"{0.459032,0.268325}","{0.507113,0.412982}","{0.429914,0.408179}"
'Fuchsia','#ff00ff',255,0,255,300,100,50,54612,254,127,"{0.320913,0.154176}","{0.486995,0.410086}","{0.447309,0.357096}"
'Fuchsia pink','#ff77ff',255,119,255,300,100,73.3,54612,254,186,"{0.318688,0.201593}","{0.504948,0.391853}","{0.412060,0.415219}"
'Fulvous','#e48400',228,132,0,34.7,100,44.7,6316,254,114,"{0.519340,0.425818}","{0.520197,0.418120}","{0.419986,0.445418}"
'Fuzzy Wuzzy','#cc6666',204,102,102,0,50,60,0,127,152,"{0.453139,0.329434}","{0.498183,0.422621}","{0.415426,0.427091}"
'Gainsboro','#dcdcdc',220,220,220,0,0,86.3,0,0,219,"{0.312712,0.329008}","{0.511764,0.386420}","{0.388245,0.452306}"
'Gamboge','#e49b0f',228,155,15,39.4,87.7,47.6,7172,222,121,"{0.488670,0.445948}","{0.523715,0.413797}","{0.413416,0.451244}"
'Ghost white','#f8f8ff',248,248,255,240,100,98.6,43690,254,250,"{0.308611,0.322228}","{0.521865,0.372988}","{0.387726,0.453893}"
'Ginger','#b06500',176,101,0,34.4,100,34.5,6262,254,88,"{0.518731,0.426302}","{0.492796,0.438888}","{0.416687,0.440288}"
'Glaucous','#6082b6',96,130,182,216.3,37.1,54.5,39375,94,138,"{0.234984,0.241402}","{0.439987,0.439706}","{0.376906,0.441146}"
'Glitter','#e6e8fa',230,232,250,234,66.7,94.1,42597,169,239,"{0.300326,0.310609}","{0.513220,0.378788}","{0.386933,0.452033}"
'Gold','#ffd700',255,215,0,50.6,100,50,9211,254,127,"{0.450649,0.480367}","{0.544769,0.398753}","{0.406991,0.465741}"
'Golden brown','#996515',153,101,21,36.4,75.9,34.1,6626,192,87,"{0.485269,0.436777}","{0.480866,0.445398}","{0.409437,0.440739}"
'Golden poppy','#fcc200',252,194,0,46.2,100,49.4,8410,254,125,"{0.467896,0.466671}","{0.540029,0.402557}","{0.410571,0.460863}"
'Golden yellow','#ffdf00',255,223,0,52.5,100,50,9557,254,127,"{0.443771,0.485829}","{0.546203,0.397574}","{0.405493,0.467622}"
'Goldenrod','#daa520',218,165,32,42.9,74.4,49,7809,188,124,"{0.464555,0.456842}","{0.520812,0.413931}","{0.408079,0.453721}"
'Granny Smith Apple','#a8e4a0',168,228,160,112.9,55.7,76.1,20552,141,193,"{0.313972,0.414679}","{0.498907,0.404006}","{0.379556,0.464514}"
'Gray','#808080',128,128,128,0,0,50.2,0,0,128,"{0.312712,0.329008}","{0.464152,0.438255}","{0.389199,0.442378}"
'Gray asparagus','#465945',70,89,69,117,12.7,31,21298,32,79,"{0.311643,0.385698}","{0.430400,0.474280}","{0.385568,0.440775}"
'Green','#00ff00',0,255,0,120,100,50,21845,254,127,"{0.300000,0.600000}","{0.423854,0.484291}","{0.344328,0.508120}"
'Green Blue','#1164b4',17,100,180,209.4,82.7,38.6,38119,210,98,"{0.184848,0.177794}","{0.387717,0.472672}","{0.357991,0.439023}"
'Green yellow','#adff2f',173,255,47,83.7,100,59.2,15236,254,150,"{0.357796,0.539030}","{0.519192,0.410207}","{0.382175,0.479831}"
'Grullo','#a99a86',169,154,134,34.3,16.9,59.4,6244,42,151,"{0.347331,0.358625}","{0.488880,0.420335}","{0.393539,0.446085}"
'Guppie green','#00ff7f',0,255,127,149.9,100,50,27288,254,127,"{0.273536,0.504730}","{0.407774,0.459377}","{0.338546,0.494787}"
'Halayà úbe','#663854',102,56,84,323.5,29.1,31,58890,73,79,"{0.354767,0.262872}","{0.441338,0.465653}","{0.402977,0.419088}"
'Han blue','#446ccf',68,108,207,222.7,59.1,53.9,40540,150,137,"{0.196618,0.170252}","{0.416358,0.448023}","{0.371237,0.433000}"
'Han purple','#5218fa',82,24,250,255.4,95.8,53.7,46493,243,136,"{0.173265,0.076916}","{0.406615,0.450794}","{0.391344,0.381999}"
'Hansa yellow','#e9d66b',233,214,107,51,74.1,66.7,9284,188,169,"{0.401098,0.442170}","{0.529362,0.396990}","{0.397392,0.458766}"
'Harlequin','#3fff00',63,255,0,105.2,100,50,19150,254,127,"{0.308898,0.592934}","{0.466069,0.454157}","{0.360320,0.498487}"
'Harvard crimson','#c90016',201,0,22,353.4,100,39.4,64333,254,100,"{0.627748,0.323249}","{0.483790,0.445348}","{0.458226,0.384142}"
'Harvest Gold','#da9100',218,145,0,39.9,100,42.7,7263,254,109,"{0.494619,0.445449}","{0.518862,0.418875}","{0.414663,0.450710}"
'Heart Gold','#808000',128,128,0,60,100,25.1,10922,254,64,"{0.419313,0.505251}","{0.475072,0.451404}","{0.397827,0.456170}"
'Heliotrope','#df73ff',223,115,255,286.3,100,72.5,52118,254,184,"{0.290022,0.186788}","{0.491259,0.398494}","{0.406228,0.416207}"
'Hollywood cerise','#f400a1',244,0,161,320.4,100,47.8,58326,254,121,"{0.432338,0.215574}","{0.492069,0.422561}","{0.453831,0.366578}"
'Honeydew','#f0fff0',240,255,240,120,100,97.1,21845,254,246,"{0.312016,0.343838}","{0.522222,0.374957}","{0.385982,0.457353}"
'Hooker green','#49796b',73,121,107,162.5,24.7,38,29581,62,97,"{0.273342,0.360763}","{0.434212,0.462053}","{0.376943,0.448848}"
'Hot magenta','#ff1dce',255,29,206,313,100,55.7,56979,254,141,"{0.376852,0.189778}","{0.496745,0.411164}","{0.440960,0.378928}"
'Hot pink','#ff69b4',255,105,180,330,100,70.6,60073,254,179,"{0.400400,0.254519}","{0.511593,0.402318}","{0.420266,0.416408}"
'Hunter green','#355e3b',53,94,59,128.8,27.9,28.8,23446,70,73,"{0.299558,0.434393}","{0.422083,0.481674}","{0.379802,0.446574}"
'Icterine','#fcf75e',252,247,94,58.1,96.3,67.8,10576,244,172,"{0.403220,0.470581}","{0.542832,0.389046}","{0.396095,0.465686}"
'Inchworm','#b2ec5d',178,236,93,84.3,79,64.5,15346,200,164,"{0.354844,0.495250}","{0.513082,0.407923}","{0.383728,0.471095}"
'India green','#138808',19,136,8,114.8,88.9,28.2,20898,225,72,"{0.303289,0.590982}","{0.412544,0.495861}","{0.364288,0.474290}"
'Indian red','#cd5c5c',205,92,92,0,53.1,58.2,0,134,148,"{0.476143,0.329503}","{0.497632,0.424827}","{0.419082,0.423971}"
'Indian yellow','#e3a857',227,168,87,34.7,71.4,61.6,6316,181,156,"{0.440378,0.418310}","{0.520701,0.407275}","{0.405988,0.448629}"
'Indigo','#4b0082',75,0,130,274.6,100,25.5,49988,254,65,"{0.220776,0.098999}","{0.413130,0.478725}","{0.408429,0.380235}"
'International Klein Blue','#002fa7',0,47,167,223.1,100,32.7,40613,254,83,"{0.160189,0.096681}","{0.372603,0.491203}","{0.362176,0.415394}"
'International orange','#ff4f00',255,79,0,18.6,100,50,3385,254,127,"{0.597042,0.364113}","{0.520352,0.418828}","{0.441056,0.422995}"
'Iris','#5a4fcf',90,79,207,245.2,57.1,56.1,44636,145,142,"{0.200852,0.134870}","{0.424862,0.446699}","{0.383646,0.417535}"
'Isabelline','#f4f0ec',244,240,236,30,26.7,94.1,5461,67,239,"{0.317804,0.333023}","{0.522002,0.377218}","{0.389014,0.453790}"
'Islamic green','#009000',0,144,0,120,100,28.2,21845,254,72,"{0.300000,0.600000}","{0.402304,0.504424}","{0.357318,0.481197}"
'Ivory','#fffff0',255,255,240,60,100,97.1,10922,254,246,"{0.321441,0.343440}","{0.527737,0.372852}","{0.388664,0.456009}"
'Jade','#00a86b',0,168,107,158.2,100,32.9,28798,254,84,"{0.258775,0.451589}","{0.396078,0.482373}","{0.347692,0.475230}"
'Jasmine','#f8de7e',248,222,126,47.2,89.7,73.3,8592,227,186,"{0.397311,0.426900}","{0.534158,0.390991}","{0.397878,0.457692}"
'Jasper','#d73b3e',215,59,62,358.8,66.1,53.7,65316,167,136,"{0.555834,0.327129}","{0.498044,0.429498}","{0.433870,0.411530}"
'Jazzberry jam','#a50b5e',165,11,94,327.7,87.5,34.5,59655,222,88,"{0.463306,0.237424}","{0.464864,0.449904}","{0.436201,0.385597}"
'Jonquil','#fada5e',250,218,94,47.7,94,67.5,8683,238,171,"{0.419300,0.449310}","{0.537172,0.393797}","{0.400564,0.459122}"
'June bud','#bdda57',189,218,87,73.3,63.9,59.8,13343,162,152,"{0.373770,0.482293}","{0.514896,0.408716}","{0.389076,0.466126}"
'Jungle green','#29ab87',41,171,135,163.4,61.3,41.6,29745,155,106,"{0.250877,0.396176}","{0.419867,0.459647}","{0.357987,0.466940}"
'KU Crimson','#e8000d',232,0,13,356.6,100,45.5,64916,254,116,"{0.635480,0.327509}","{0.497060,0.436298}","{0.466572,0.382960}"
'Kelly green','#4cbb17',76,187,23,100.6,78.1,41.2,18313,198,105,"{0.322010,0.572056}","{0.456989,0.459477}","{0.371548,0.478698}"
'Khaki','#c3b091',195,176,145,37.2,29.4,66.7,6771,74,169,"{0.356596,0.369463}","{0.503430,0.408346}","{0.394460,0.449081}"
'La Salle Green','#087830',8,120,48,141.4,87.5,25.1,25740,222,64,"{0.281601,0.524808}","{0.399674,0.498201}","{0.360625,0.465319}"
'Languid lavender','#d6cadd',214,202,221,277.9,21.8,82.9,50589,55,210,"{0.308393,0.307680}","{0.506181,0.390388}","{0.389838,0.448044}"
'Lapis lazuli','#26619c',38,97,156,210,60.8,38,38228,154,97,"{0.199541,0.204722}","{0.403340,0.470930}","{0.367243,0.437865}"
'Laser Lemon','#fefe22',254,254,34,60,99.1,56.5,10922,251,143,"{0.416495,0.500592}","{0.549390,0.391536}","{0.398226,0.471792}"
'Laurel green','#a9ba9d',169,186,157,95.2,17.4,67.3,17330,44,171,"{0.320924,0.368905}","{0.492030,0.411763}","{0.386433,0.453617}"
'Lava','#cf1020',207,16,32,355,85.7,43.7,64624,217,111,"{0.615062,0.322894}","{0.488723,0.440453}","{0.451269,0.392584}"
'Lavender','#e6e6fa',230,230,250,240,66.7,94.1,43690,169,239,"{0.300328,0.308535}","{0.512908,0.379111}","{0.387225,0.451537}"
'Lavender blue','#ccccff',204,204,255,240,100,90,43690,254,228,"{0.279167,0.273549}","{0.497030,0.387062}","{0.385806,0.446736}"
'Lavender blush','#fff0f5',255,240,245,340,100,97.1,61894,254,246,"{0.319528,0.324182}","{0.524736,0.374507}","{0.390591,0.452129}"
'Lavender gray','#c4c3d0',196,195,208,244.6,12.1,79,44527,30,200,"{0.304032,0.313419}","{0.499097,0.396944}","{0.387983,0.448925}"
'Lavender indigo','#9457eb',148,87,235,264.7,78.7,63.1,48186,199,160,"{0.234782,0.146561}","{0.454014,0.423578}","{0.396084,0.412765}"
'Lavender magenta','#ee82ee',238,130,238,300,76.1,72.2,54612,193,183,"{0.317898,0.218446}","{0.502143,0.395372}","{0.407191,0.422018}"
'Lavender mist','#e6e6fa',230,230,250,240,66.7,94.1,43690,169,239,"{0.300328,0.308535}","{0.512908,0.379111}","{0.387225,0.451537}"
'Lavender pink','#fbaed2',251,174,210,331.9,90.6,83.3,60419,230,211,"{0.349990,0.291540}","{0.517765,0.389373}","{0.402570,0.437605}"
'Lavender purple','#967bb6',150,123,182,267.5,28.8,59.8,48696,73,152,"{0.282323,0.241383}","{0.468177,0.424847}","{0.392273,0.432671}"
'Lavender rose','#fba0e3',251,160,227,315.8,91.9,80.6,57488,233,204,"{0.337021,0.260583}","{0.513388,0.389585}","{0.404311,0.431917}"
'Lawn green','#7cfc00',124,252,0,90.5,100,49.4,16474,254,125,"{0.334229,0.572818}","{0.499625,0.430295}","{0.374648,0.489494}"
'Lemon','#fff700',255,247,0,58.1,100,50,10576,254,127,"{0.424983,0.500749}","{0.550492,0.394048}","{0.401239,0.472960}"
'Lemon Yellow','#fff44f',255,244,79,56.3,100,65.5,10248,254,166,"{0.412832,0.476271}","{0.544578,0.389990}","{0.397841,0.465912}"
'Lemon chiffon','#fffacd',255,250,205,54,100,90.2,9830,254,229,"{0.343254,0.373418}","{0.531880,0.377681}","{0.390964,0.457486}"
'Lemon lime','#bfff00',191,255,0,75.1,100,50,13671,254,127,"{0.374722,0.540662}","{0.530063,0.408477}","{0.388010,0.481805}"
'Light Crimson','#f56991',245,105,145,342.9,87.5,68.6,62422,222,174,"{0.435736,0.287615}","{0.511312,0.407858}","{0.420571,0.420399}"
'Light Thulian pink','#e68fac',230,143,172,340,63.5,73.1,61894,161,185,"{0.374176,0.295799}","{0.509111,0.402623}","{0.406764,0.432943}"
'Light apricot','#fdd5b1',253,213,177,28.4,95,84.3,5169,241,214,"{0.369498,0.366480}","{0.528795,0.386585}","{0.397747,0.450873}"
'Light blue','#add8e6',173,216,230,194.7,53.3,79,35443,135,200,"{0.274879,0.312326}","{0.488676,0.394728}","{0.378894,0.455010}"
'Light brown','#b5651d',181,101,29,28.4,72.4,41.2,5169,183,105,"{0.511742,0.411019}","{0.493387,0.435438}","{0.415690,0.436596}"
'Light carmine pink','#e66771',230,103,113,355.3,71.8,65.3,64679,182,166,"{0.464978,0.318519}","{0.508059,0.414610}","{0.420134,0.423945}"
'Light coral','#f08080',240,128,128,0,78.9,72.2,0,200,183,"{0.440900,0.329397}","{0.514928,0.406996}","{0.414965,0.430833}"
'Light cornflower blue','#93ccea',147,204,234,200.7,67.4,74.7,36535,171,189,"{0.255441,0.291560}","{0.472900,0.401938}","{0.374797,0.454104}"
'Light cyan','#e0ffff',224,255,255,180,100,93.9,32767,254,238,"{0.294037,0.328952}","{0.513589,0.375250}","{0.382390,0.457678}"
'Light fuchsia pink','#f984ef',249,132,239,305.1,90.7,74.7,55540,230,189,"{0.326917,0.222862}","{0.506693,0.392868}","{0.408958,0.421747}"
'Light goldenrod yellow','#fafad2',250,250,210,60,80,90.2,10922,203,229,"{0.336805,0.368842}","{0.529445,0.377885}","{0.389843,0.457564}"
